model,N,CAP,state_vector,stored,matched,transitions,depth,errors,memory_mb,time_s
refined,6,1,144,1085,1567,2652,267,0,181.699,0
refined,6,2,144,942,1281,2223,265,0,181.699,0
refined,6,3,144,901,1221,2122,264,0,181.699,0.01
refined,7,1,160,2979,5922,8901,324,0,181.894,0
refined,7,2,160,2693,5229,7922,320,0,181.894,0.01
refined,7,3,160,2423,4611,7034,319,0,181.894,0.01
refined,8,1,184,7952,20108,28060,373,0,182.480,0.02
refined,8,2,184,6535,15686,22221,369,0,182.382,0.01
refined,8,3,184,5912,14159,20071,368,0,182.382,0.01
refined,9,1,200,23412,72581,95993,436,0,184.726,0.02
refined,9,2,200,20629,62312,82941,430,0,184.531,0.03
refined,9,3,200,17322,51741,69063,428,0,184.140,0.02
refined,10,1,216,65122,238018,303140,490,0,190.976,0.07
refined,10,2,216,51931,181506,233437,484,0,189.414,0.06
refined,10,3,216,43766,153446,197212,482,0,188.828,0.06
refined,11,1,240,198215,836874,1035089,559,0,211.777,0.3
refined,11,2,240,173387,711430,884817,550,0,210.605,0.25
refined,11,3,240,134793,552323,687116,547,0,205.136,0.2
refined,12,1,256,562991,2685919,3248910,618,0,276.035,0.95
refined,12,2,256,445766,2039801,2485567,609,0,259.726,0.71
refined,12,3,256,347366,1605802,1953168,606,0,247.617,0.64
refined,13,1,272,1744135,9277086,11021221,693,0,487.558,3.45
refined,13,2,272,1539625,7924231,9463856,681,0,474.765,2.91
refined,13,3,272,1105643,5731036,6836679,677,0,400.840,2.18
